IMI;TAXAS_MULTAS_OUTROS_IMPOSTOS;FINANCIAMENTO_UNIAO_EUROPEIA;IMPOSTOS_MUNICIPAIS;IUC;TRANSFERENCIAS_ORCAMENTO_ESTADO;ldk;IMT;CODIGO_PERIODO;CODIGOINE;DSC_AUTARQUIA;VENDA_BENS_SERVICOS;DERRAMA_IRC;RECEITAS_TOTAIS;OUTRAS_RECEITAS
23055.38;35548.36;0;171967.54;29573.14;1512744;T1_1807;83790.66;T1;1807;MOIMENTA DA BEIRA;216356.28;0;2275952.08;374884.26
335206.84;459113.05;754.85;2148718.44;197724.76;2796063;T1_1506;1105771.24;T1;1506;MOITA;1502560.65;50902.55;6500612.55;52515.61
27859.61;49576.18;554520.69;321620.11;67779.83;2070033;T1_1604;176404.49;T1;1604;MONÇÃO;634279.2;0;4527696.22;947243.22
15531.14;7026.6;8209.46;81681.25;15333.17;1692624;T1_0809;43790.34;T1;0809;MONCHIQUE;217398.5;0;2123988.85;124075.64
5370.98;90649.26;337018.6;135707.92;19761.55;1468149;T1_1705;19926.13;T1;1705;MONDIM DE BASTO;77537.44;0;2136836.58;118423.62
864.97;7767.83;369.23;17680.31;5289.21;1086099;T1_1211;3758.3;T1;1211;MONFORTE;92611.67;0;1245718.58;48958.37
19229.68;45832.9;2420.51;132117.2;28291.95;2662521;T1_1706;38762.67;T1;1706;MONTALEGRE;358183.04;0;3576801.43;421559.68
22398.54;33757.17;614516.09;230944.62;54189.99;2758149;T1_0706;98836.56;T1;0706;MONTEMOR-O-NOVO;620354.37;21762.36;4315473.14;91509.06
82226.8;193540.34;468482.57;467792.09;77172.01;2000817;T1_0610;114852.94;T1;0610;MONTEMOR-O-VELHO;567364.1;0;5704594.61;2200138.85
249598.92;2004255.11;100293.8;3811800.22;179454;1578036;T1_1507;1322995.98;T1;1507;MONTIJO;656928.92;55496.21;7378474.25;1231415.31
1376.82;9758.27;200813.32;58985.3;14263.59;1200774;T1_0707;26225.27;T1;0707;MORA;224935.67;7361.35;1737116.07;51607.78
1911.95;46205.8;222259.03;235431.27;30203.4;1399515;T1_1808;157110.12;T1;1808;MORTÁGUA;245184.51;0;2270353.37;167963.56
20298.37;26237.67;10507.99;212675.88;41790.57;2494203;T1_0210;100910.36;T1;0210;MOURA;204981.45;23438.91;3001871.95;79503.63
2731.19;4756.14;0;31097.84;5105.18;920297;T1_0708;14767.76;T1;0708;MOURÃO;67625.72;3737.57;1142386.38;123365.82
3141.54;30794.52;0;73378.09;14589.49;1197012;T1_1707;24852.54;T1;1707;MURÇA;108136.56;0;1518518.65;139992
16812.86;95885.76;0;286852.83;42719.53;969666;T1_0112;131434.68;T1;0112;MURTOSA;311617.81;0;2245503.12;677366.48
41389.68;168775.87;111139.16;543918.89;52973.81;907215.9;T1_1011;280779.53;T1;1011;NAZARÉ;306875.66;0;2803390.43;934240.82
21053.57;191042.54;6889.16;371896.23;45114.06;1266549;T1_1809;100753.8;T1;1809;NELAS;263796.29;13932.26;2177940.3;268809.62
2322.43;22570.55;62420.27;117236.31;17654.74;1776783;T1_1212;74688.59;T1;1212;NISA;473742.32;0;3408163.77;977981.87
2385.88;7007.39;258093.3;33720.78;8664.78;1156864;T1_4202;15662.73;T1;4202;NORDESTE;6976.03;0;1460572.11;4918
